,make,fuel_type,aspiration,num_doors,body_style,drive_wheels,engine_location,engine_type,num_cylinders,fuel_system
0,alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,mpfi
1,alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,mpfi
2,alfa-romero,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi
3,audi,gas,std,four,sedan,fwd,front,ohc,four,mpfi
4,audi,gas,std,four,sedan,4wd,front,ohc,five,mpfi
5,audi,gas,std,two,sedan,fwd,front,ohc,five,mpfi
6,audi,gas,std,four,sedan,fwd,front,ohc,five,mpfi
7,audi,gas,std,four,wagon,fwd,front,ohc,five,mpfi
8,audi,gas,turbo,four,sedan,fwd,front,ohc,five,mpfi
9,audi,gas,turbo,two,hatchback,4wd,front,ohc,five,mpfi
10,bmw,gas,std,two,sedan,rwd,front,ohc,four,mpfi
11,bmw,gas,std,four,sedan,rwd,front,ohc,four,mpfi
12,bmw,gas,std,two,sedan,rwd,front,ohc,six,mpfi
13,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi
14,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi
15,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi
16,bmw,gas,std,two,sedan,rwd,front,ohc,six,mpfi
17,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi
18,chevrolet,gas,std,two,hatchback,fwd,front,l,three,2bbl
19,chevrolet,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
20,chevrolet,gas,std,four,sedan,fwd,front,ohc,four,2bbl
21,dodge,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
22,dodge,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
23,dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,mpfi
24,dodge,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
25,dodge,gas,std,four,sedan,fwd,front,ohc,four,2bbl
26,dodge,gas,std,four,sedan,fwd,front,ohc,four,2bbl
27,dodge,gas,turbo,four,sedan,fwd,front,ohc,four,mpfi
28,dodge,gas,std,four,wagon,fwd,front,ohc,four,2bbl
29,dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,mfi
30,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
31,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
32,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
33,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
34,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
35,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl
36,honda,gas,std,four,wagon,fwd,front,ohc,four,1bbl
37,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
38,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
39,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl
40,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl
41,honda,gas,std,four,sedan,fwd,front,ohc,four,mpfi
42,honda,gas,std,two,sedan,fwd,front,ohc,four,2bbl
43,isuzu,gas,std,four,sedan,rwd,front,ohc,four,2bbl
44,isuzu,gas,std,two,sedan,fwd,front,ohc,four,2bbl
45,isuzu,gas,std,four,sedan,fwd,front,ohc,four,2bbl
46,isuzu,gas,std,two,hatchback,rwd,front,ohc,four,spfi
47,jaguar,gas,std,four,sedan,rwd,front,dohc,six,mpfi
48,jaguar,gas,std,four,sedan,rwd,front,dohc,six,mpfi
49,jaguar,gas,std,two,sedan,rwd,front,ohcv,twelve,mpfi
50,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
51,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
52,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
53,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl
54,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl
55,mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl
56,mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl
57,mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl
58,mazda,gas,std,two,hatchback,rwd,front,rotor,two,mpfi
59,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
60,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl
61,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
62,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl
63,mazda,diesel,std,four,sedan,fwd,front,ohc,four,idi
64,mazda,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
65,mazda,gas,std,four,sedan,rwd,front,ohc,four,mpfi
66,mazda,diesel,std,four,sedan,rwd,front,ohc,four,idi
67,mercedes-benz,diesel,turbo,four,sedan,rwd,front,ohc,five,idi
68,mercedes-benz,diesel,turbo,four,wagon,rwd,front,ohc,five,idi
69,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,ohc,five,idi
70,mercedes-benz,diesel,turbo,four,sedan,rwd,front,ohc,five,idi
71,mercedes-benz,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi
72,mercedes-benz,gas,std,two,convertible,rwd,front,ohcv,eight,mpfi
73,mercedes-benz,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi
74,mercedes-benz,gas,std,two,hardtop,rwd,front,ohcv,eight,mpfi
75,mercury,gas,turbo,two,hatchback,rwd,front,ohc,four,mpfi
76,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
77,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
78,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
79,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
80,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
81,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
82,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
83,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
84,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
85,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,2bbl
86,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,2bbl
87,mitsubishi,gas,turbo,four,sedan,fwd,front,ohc,four,spdi
88,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,spdi
89,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl
90,nissan,diesel,std,two,sedan,fwd,front,ohc,four,idi
91,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl
92,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl
93,nissan,gas,std,four,wagon,fwd,front,ohc,four,2bbl
94,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl
95,nissan,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
96,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl
97,nissan,gas,std,four,wagon,fwd,front,ohc,four,2bbl
98,nissan,gas,std,two,hardtop,fwd,front,ohc,four,2bbl
99,nissan,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
100,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl
101,nissan,gas,std,four,sedan,fwd,front,ohcv,six,mpfi
102,nissan,gas,std,four,wagon,fwd,front,ohcv,six,mpfi
103,nissan,gas,std,four,sedan,fwd,front,ohcv,six,mpfi
104,nissan,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi
105,nissan,gas,turbo,two,hatchback,rwd,front,ohcv,six,mpfi
106,nissan,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi
107,peugot,gas,std,four,sedan,rwd,front,l,four,mpfi
108,peugot,diesel,turbo,four,sedan,rwd,front,l,four,idi
109,peugot,gas,std,four,wagon,rwd,front,l,four,mpfi
110,peugot,diesel,turbo,four,wagon,rwd,front,l,four,idi
111,peugot,gas,std,four,sedan,rwd,front,l,four,mpfi
112,peugot,diesel,turbo,four,sedan,rwd,front,l,four,idi
113,peugot,gas,std,four,wagon,rwd,front,l,four,mpfi
114,peugot,diesel,turbo,four,wagon,rwd,front,l,four,idi
115,peugot,gas,std,four,sedan,rwd,front,l,four,mpfi
116,peugot,diesel,turbo,four,sedan,rwd,front,l,four,idi
117,peugot,gas,turbo,four,sedan,rwd,front,l,four,mpfi
118,plymouth,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
119,plymouth,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
120,plymouth,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
121,plymouth,gas,std,four,sedan,fwd,front,ohc,four,2bbl
122,plymouth,gas,std,four,sedan,fwd,front,ohc,four,2bbl
123,plymouth,gas,std,four,wagon,fwd,front,ohc,four,2bbl
124,plymouth,gas,turbo,two,hatchback,rwd,front,ohc,four,spdi
125,porsche,gas,std,two,hatchback,rwd,front,ohc,four,mpfi
126,porsche,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi
127,porsche,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi
128,porsche,gas,std,two,convertible,rwd,rear,ohcf,six,mpfi
129,porsche,gas,std,two,hatchback,rwd,front,dohcv,eight,mpfi
130,renault,gas,std,four,wagon,fwd,front,ohc,four,mpfi
131,renault,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
132,saab,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
133,saab,gas,std,four,sedan,fwd,front,ohc,four,mpfi
134,saab,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
135,saab,gas,std,four,sedan,fwd,front,ohc,four,mpfi
136,saab,gas,turbo,two,hatchback,fwd,front,dohc,four,mpfi
137,saab,gas,turbo,four,sedan,fwd,front,dohc,four,mpfi
138,subaru,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl
139,subaru,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl
140,subaru,gas,std,two,hatchback,4wd,front,ohcf,four,2bbl
141,subaru,gas,std,four,sedan,fwd,front,ohcf,four,2bbl
142,subaru,gas,std,four,sedan,fwd,front,ohcf,four,2bbl
143,subaru,gas,std,four,sedan,fwd,front,ohcf,four,mpfi
144,subaru,gas,std,four,sedan,4wd,front,ohcf,four,2bbl
145,subaru,gas,turbo,four,sedan,4wd,front,ohcf,four,mpfi
146,subaru,gas,std,four,wagon,fwd,front,ohcf,four,2bbl
147,subaru,gas,std,four,wagon,fwd,front,ohcf,four,mpfi
148,subaru,gas,std,four,wagon,4wd,front,ohcf,four,2bbl
149,subaru,gas,turbo,four,wagon,4wd,front,ohcf,four,mpfi
150,toyota,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
151,toyota,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
152,toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
153,toyota,gas,std,four,wagon,fwd,front,ohc,four,2bbl
154,toyota,gas,std,four,wagon,4wd,front,ohc,four,2bbl
155,toyota,gas,std,four,wagon,4wd,front,ohc,four,2bbl
156,toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl
157,toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
158,toyota,diesel,std,four,sedan,fwd,front,ohc,four,idi
159,toyota,diesel,std,four,hatchback,fwd,front,ohc,four,idi
160,toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl
161,toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
162,toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl
163,toyota,gas,std,two,sedan,rwd,front,ohc,four,2bbl
164,toyota,gas,std,two,hatchback,rwd,front,ohc,four,2bbl
165,toyota,gas,std,two,sedan,rwd,front,dohc,four,mpfi
166,toyota,gas,std,two,hatchback,rwd,front,dohc,four,mpfi
167,toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi
168,toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi
169,toyota,gas,std,two,hatchback,rwd,front,ohc,four,mpfi
170,toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi
171,toyota,gas,std,two,hatchback,rwd,front,ohc,four,mpfi
172,toyota,gas,std,two,convertible,rwd,front,ohc,four,mpfi
173,toyota,gas,std,four,sedan,fwd,front,ohc,four,mpfi
174,toyota,diesel,turbo,four,sedan,fwd,front,ohc,four,idi
175,toyota,gas,std,four,hatchback,fwd,front,ohc,four,mpfi
176,toyota,gas,std,four,sedan,fwd,front,ohc,four,mpfi
177,toyota,gas,std,four,hatchback,fwd,front,ohc,four,mpfi
178,toyota,gas,std,two,hatchback,rwd,front,dohc,six,mpfi
179,toyota,gas,std,two,hatchback,rwd,front,dohc,six,mpfi
180,toyota,gas,std,four,sedan,rwd,front,dohc,six,mpfi
181,toyota,gas,std,four,wagon,rwd,front,dohc,six,mpfi
182,volkswagen,diesel,std,two,sedan,fwd,front,ohc,four,idi
183,volkswagen,gas,std,two,sedan,fwd,front,ohc,four,mpfi
184,volkswagen,diesel,std,four,sedan,fwd,front,ohc,four,idi
185,volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi
186,volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi
187,volkswagen,diesel,turbo,four,sedan,fwd,front,ohc,four,idi
188,volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi
189,volkswagen,gas,std,two,convertible,fwd,front,ohc,four,mpfi
190,volkswagen,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
191,volkswagen,gas,std,four,sedan,fwd,front,ohc,five,mpfi
192,volkswagen,diesel,turbo,four,sedan,fwd,front,ohc,four,idi
193,volkswagen,gas,std,four,wagon,fwd,front,ohc,four,mpfi
194,volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi
195,volvo,gas,std,four,wagon,rwd,front,ohc,four,mpfi
196,volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi
197,volvo,gas,std,four,wagon,rwd,front,ohc,four,mpfi
198,volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi
199,volvo,gas,turbo,four,wagon,rwd,front,ohc,four,mpfi
200,volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi
201,volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi
202,volvo,gas,std,four,sedan,rwd,front,ohcv,six,mpfi
203,volvo,diesel,turbo,four,sedan,rwd,front,ohc,six,idi
204,volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi
