passengerCount,tripDistance,hour_of_day,day_of_week,month_num,normalizeHolidayName,isPaidTimeOff,snowDepth,precipTime,precipDepth,temperature,totalAmount
1.0,9.4,15,2,1,None,false,29.058823529411764,24.0,3.0,6.18571428571429,44.3
null,14.75,13,4,1,None,false,0.0,6.0,0.0,4.571929824561403,44.8
1.0,3.35,23,4,1,None,false,0.0,1.0,0.0,4.384090909090913,18.96
1.0,3.33,18,2,1,None,false,29.058823529411764,24.0,3.0,6.18571428571429,16.3
1.0,0.47,17,6,1,None,false,0.0,1.0,0.0,3.846428571428569,5.3
1.0,3.07,9,1,1,None,false,0.0,6.0,0.0,0.1594594594594597,16.3
1.0,0.92,23,4,1,None,false,0.0,1.0,0.0,-2.999107142857142,8.97
1.0,1.9,12,4,1,None,false,0.0,1.0,0.0,4.384090909090913,11.8
1.0,0.77,0,1,1,None,false,0.0,1.0,0.0,-5.393749999999998,7.3
null,2.35,2,6,1,None,false,0.0,24.0,254.0,10.943654822335034,14.16
1.0,8.3,18,3,1,None,false,0.0,1.0,0.0,-0.040000000000000036,34.3
null,4.28,18,0,1,"Martin Luther King, Jr. Day",true,3.0,24.0,13.0,-2.3351145038167944,18.96
1.0,10.77,2,2,1,None,false,29.058823529411764,24.0,3.0,6.18571428571429,31.3
1.0,1.75,17,3,1,None,false,0.0,6.0,0.0,-1.9500000000000008,14.3
1.0,3.75,2,4,1,New Year's Day,true,0.0,1.0,0.0,5.197345132743359,19.3
1.0,5.79,14,6,1,None,false,0.0,1.0,0.0,3.846428571428569,33.55
5.0,1.06,19,4,1,None,false,15.647058823529413,6.0,0.0,3.3651785714285696,8.3
1.0,5.7,11,2,1,None,false,0.0,6.0,0.0,-2.06875,29.1
1.0,3.26,10,3,1,None,false,0.0,6.0,0.0,-1.9500000000000008,23.34
1.0,2.68,20,2,1,None,false,0.0,6.0,0.0,-2.06875,10.3
1.0,8.46,1,6,1,None,false,3.0,24.0,13.0,2.4039473684210493,28.3
1.0,0.94,14,0,1,None,false,0.0,24.0,282.0,2.462499999999998,13.56
null,0.77,15,1,1,None,false,0.0,6.0,0.0,-7.20625,7.8
1.0,0.62,15,4,1,None,false,15.647058823529413,6.0,0.0,3.3651785714285696,7.25
1.0,2.15,11,3,1,None,false,0.0,6.0,0.0,3.180645161290322,22.56
1.0,1.98,10,2,1,None,false,0.0,1.0,0.0,-0.15357142857142847,12.36
1.0,1.05,13,6,1,None,false,0.0,24.0,254.0,10.943654822335034,6.8
1.0,0.8,9,4,1,None,false,0.0,1.0,0.0,-2.999107142857142,6.96
3.0,0.83,8,4,1,None,false,0.0,1.0,0.0,-2.999107142857142,6.3
1.0,1.2,11,0,1,"Martin Luther King, Jr. Day",true,3.0,24.0,13.0,-2.3351145038167944,9.35
1.0,1.56,15,2,1,None,false,0.0,1.0,0.0,-0.15357142857142847,8.3
1.0,0.83,2,4,1,None,false,0.0,1.0,0.0,-2.999107142857142,6.3
1.0,2.77,22,1,1,None,false,43.529411764705884,6.0,0.0,3.5794642857142853,12.8
1.0,0.53,4,4,1,New Year's Day,true,0.0,1.0,0.0,5.197345132743359,4.8
1.0,15.0,8,1,1,None,false,43.529411764705884,6.0,0.0,3.5794642857142853,52.55
1.0,0.56,3,4,1,New Year's Day,true,0.0,1.0,0.0,5.197345132743359,5.8
1.0,2.64,17,2,1,None,false,29.058823529411764,24.0,3.0,6.18571428571429,16.3
1.0,1.47,13,0,1,None,false,54.411764705882355,6.0,0.0,-0.3089285714285713,10.3
1.0,2.04,13,1,1,None,false,43.529411764705884,6.0,0.0,3.5794642857142853,16.3
1.0,1.42,2,6,1,None,false,3.0,24.0,13.0,2.4039473684210493,8.3
5.0,2.57,5,4,1,None,false,0.0,1.0,0.0,-2.999107142857142,11.3
1.0,1.63,20,0,1,None,false,54.411764705882355,6.0,0.0,-0.3089285714285713,11.3
1.0,1.77,21,4,1,None,false,15.647058823529413,6.0,0.0,3.3651785714285696,9.8
1.0,4.53,19,0,1,None,false,0.0,24.0,282.0,2.462499999999998,21.96
1.0,2.31,17,4,1,New Year's Day,true,0.0,1.0,0.0,5.197345132743359,10.3
1.0,3.9,17,5,1,None,false,12.722222222222221,6.0,0.0,0.6133928571428571,19.1
1.0,0.88,9,6,1,None,false,0.0,24.0,254.0,10.943654822335034,6.3
1.0,2.03,13,3,1,None,false,0.0,6.0,0.0,3.180645161290322,11.3
1.0,1.8,11,2,1,None,false,0.0,1.0,0.0,-0.15357142857142847,9.3
6.0,20.37,8,3,1,None,false,0.0,6.0,0.0,3.180645161290322,67.8
1.0,1.24,7,4,1,None,false,15.647058823529413,6.0,0.0,3.3651785714285696,8.8
1.0,1.35,18,0,1,None,false,54.411764705882355,6.0,0.0,-0.3089285714285713,10.56
1.0,6.2,22,5,1,None,false,0.0,24.0,102.0,7.808965517241381,3.8
1.0,1.28,23,3,1,None,false,0.0,1.0,0.0,-0.040000000000000036,9.36
1.0,4.89,2,6,1,None,false,0.0,24.0,254.0,10.943654822335034,21.96
1.0,1.58,20,4,1,New Year's Day,true,0.0,1.0,0.0,5.197345132743359,10.3
1.0,1.46,16,2,1,None,false,0.0,1.0,0.0,-0.15357142857142847,11.8
1.0,4.66,15,5,1,None,false,0.0,24.0,102.0,7.808965517241381,18.8
1.0,1.05,17,4,1,None,false,15.647058823529413,6.0,0.0,3.3651785714285696,11.16
1.0,3.02,13,4,1,None,false,0.0,6.0,0.0,4.571929824561403,11.8
1.0,15.6,13,0,1,None,false,54.411764705882355,6.0,0.0,-0.3089285714285713,46.3
1.0,0.4,16,1,1,None,false,0.0,1.0,0.0,-5.393749999999998,6.3
